Resume,Category
"Professional Summary:
Results-driven Java Developer with 9 years of experience in
Docker, JUnit, Hibernate, Multithreading. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Docker, JUnit, Hibernate, Multithreading, MySQL, Kafka, Java, JPA, Communication, Problem Solving

Experience:
Java Developer at Skyline Digital
- Managed backend systems using Java, improving performance by 40%.
- Led REST APIs using Spring Boot, for over 10,000 users.
- Optimized batch jobs using Docker, improving performance by 40%.

Education:
B.Tech in Electronics and Communication, State Technical University

Certifications:
Oracle Certified Java Programmer",Java Developer
"Professional Summary:
Results-driven DevOps Engineer with 11 years of experience in
Kubernetes, CI/CD, Monitoring, Prometheus. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, CI/CD, Monitoring, Prometheus, GitLab CI, Grafana, Terraform, Infrastructure as Code, Communication, Scrum

Experience:
DevOps Engineer at ByteForge Inc
- Streamlined CI/CD pipelines using Jenkins, for over 10,000 users.
- Streamlined deployment automation using Git, by 20%.
- Created infrastructure as code using Prometheus, by 20%.

Education:
M.Sc in Data Science, Pune University

Certifications:
PMP Certification",DevOps Engineer
"Professional Summary:
Results-driven Web Developer with 10 years of experience in
React, Express.js, Bootstrap, MongoDB. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
React, Express.js, Bootstrap, MongoDB, Webpack, JavaScript, REST APIs, Redux, Time Management, Project Management

Experience:
Web Developer at TechCorp Solutions
- Optimized single page applications using MongoDB, across 5 production environments.
- Created e-commerce platforms using CSS, reducing latency by 25%.
- Created frontend components using TypeScript, for over 10,000 users.

Education:
M.Sc in Data Science, National Institute of Technology

Certifications:
TensorFlow Developer Certificate",Web Developer
"Professional Summary:
Results-driven Web Developer with 3 years of experience in
MongoDB, SQL, JavaScript, Next.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
MongoDB, SQL, JavaScript, Next.js, Git, TypeScript, HTML, Node.js, Communication, Time Management

Experience:
Web Developer at TechCorp Solutions
- Created frontend components using TypeScript, across 5 production environments.
- Created single page applications using MongoDB, across 5 production environments.
- Developed frontend components using Webpack, across 5 production environments.
- Architected landing pages using CSS, across 5 production environments.

Education:
B.Tech in Electronics and Communication, Anna University

Certifications:
Google Data Analytics Certificate",Web Developer
"Professional Summary:
Results-driven Software Engineer with 9 years of experience in
Data Structures, REST APIs, System Design, Design Patterns. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Data Structures, REST APIs, System Design, Design Patterns, C++, CI/CD, Unit Testing, Agile, Problem Solving, Scrum

Experience:
Software Engineer at Quantum Softworks
- Built backend services using System Design, by 35%.
- Automated APIs using C++, for over 10,000 users.
- Streamlined software modules using Agile, reducing latency by 25%.
- Built backend services using C++, by 35%.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
PMP Certification",Software Engineer
"Professional Summary:
Results-driven Data Scientist with 4 years of experience in
Scikit-learn, Deep Learning, A/B Testing, R. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Scikit-learn, Deep Learning, A/B Testing, R, PyTorch, Matplotlib, TensorFlow, Machine Learning, Problem Solving, Agile

Experience:
Data Scientist at DataWave Analytics
- Architected recommendation systems using A/B Testing, resulting in 15% cost savings.
- Improved statistical analyses using Matplotlib, by 20%.
- Automated predictive models using Tableau, resulting in 15% cost savings.

Education:
B.Tech in Computer Science, Delhi Technological University

Certifications:
TensorFlow Developer Certificate",Data Scientist
"Professional Summary:
Results-driven Web Developer with 8 years of experience in
REST APIs, Node.js, Bootstrap, TypeScript. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Node.js, Bootstrap, TypeScript, React, CSS, Express.js, JavaScript, Communication, Team Leadership

Experience:
Web Developer at Pinnacle IT Services
- Developed e-commerce platforms using CSS, resulting in 15% cost savings.
- Optimized single page applications using Tailwind CSS, resulting in 15% cost savings.

Education:
M.Sc in Data Science, Pune University

Certifications:
Google Data Analytics Certificate",Web Developer
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
Linux, Azure DevOps, Git, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Linux, Azure DevOps, Git, AWS, Grafana, Terraform, Prometheus, Infrastructure as Code, Problem Solving, Team Leadership

Experience:
DevOps Engineer at Quantum Softworks
- Developed container orchestration using Ansible, by 35%.
- Led CI/CD pipelines using Prometheus, reducing latency by 25%.
- Architected deployment automation using Infrastructure as Code, for over 10,000 users.

Education:
B.Sc in Computer Science, Anna University

Certifications:
Certified Kubernetes Administrator",DevOps Engineer
"Professional Summary:
Results-driven AI Engineer with 12 years of experience in
FastAPI, Model Deployment, Python, Keras. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
FastAPI, Model Deployment, Python, Keras, TensorFlow, Flask, Hugging Face, Kubernetes, Time Management, Communication

Experience:
AI Engineer at NexGen Software
- Designed computer vision systems using Python, across 5 production environments.
- Designed deep learning models using MLOps, reducing latency by 25%.

Education:
MCA, Indian Institute of Technology

Certifications:
Certified Kubernetes Administrator",AI Engineer
"Professional Summary:
Results-driven DevOps Engineer with 0 years of experience in
Docker, Git, Prometheus, GitLab CI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Docker, Git, Prometheus, GitLab CI, Monitoring, Terraform, Jenkins, Azure DevOps, Time Management, Scrum

Experience:
DevOps Engineer at TechCorp Solutions
- Delivered infrastructure as code using Azure DevOps, for over 10,000 users.
- Streamlined monitoring systems using GitLab CI, improving performance by 40%.
- Automated infrastructure as code using Kubernetes, resulting in 15% cost savings.

Education:
M.Tech in Computer Science, National Institute of Technology

Certifications:
PMP Certification",DevOps Engineer
