Resume,JobDescription,ExperienceYears,ATS_Score
"Professional Summary:
Results-driven AI Engineer with 10 years of experience in
CUDA, TensorFlow, NLP, Kubernetes. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CUDA, TensorFlow, NLP, Kubernetes, Python, Computer Vision, Model Deployment, Transformers, Team Leadership, Problem Solving

Experience:
AI Engineer at CloudNine Technologies
- Developed chatbots using CUDA, improving performance by 40%.
- Created model training pipelines using REST APIs, by 20%.

Education:
B.Sc in Computer Science, State Technical University

Certifications:
Certified Kubernetes Administrator","We are looking for a AI Engineer with at least 3 years of experience.
Required Skills: Model Deployment, Transformers, CUDA, MLOps, PyTorch, Flask.
Responsibilities include working on deep learning models, AI inference services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,85.1
"Professional Summary:
Results-driven Software Engineer with 9 years of experience in
SQL, System Design, Object Oriented Programming, Microservices. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
SQL, System Design, Object Oriented Programming, Microservices, Agile, Python, C++, CI/CD, Agile, Communication

Experience:
Software Engineer at DataWave Analytics
- Delivered internal tools using REST APIs, resulting in 15% cost savings.
- Improved backend services using SQL, for over 10,000 users.
- Engineered APIs using CI/CD, improving performance by 40%.

Education:
B.E in Information Technology, Delhi Technological University

Certifications:
PMP Certification","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: Design Patterns, REST APIs, C++, Git, CI/CD, Agile.
Responsibilities include working on software modules, scalable systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,82.3
"Professional Summary:
Results-driven Software Engineer with 7 years of experience in
Python, Data Structures, CI/CD, Java. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Python, Data Structures, CI/CD, Java, SQL, Design Patterns, Algorithms, System Design, Time Management, Agile

Experience:
Software Engineer at NexGen Software
- Delivered automated tests using Design Patterns, by 35%.
- Implemented scalable systems using Algorithms, reducing latency by 25%.
- Built software modules using Git, by 20%.
- Deployed automated tests using Agile, for over 10,000 users.

Education:
B.Tech in Electronics and Communication, Anna University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: Java, Data Structures, REST APIs, Design Patterns, CI/CD, System Design.
Responsibilities include working on APIs, internal tools
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,82.7
"Professional Summary:
Results-driven Data Scientist with 8 years of experience in
Machine Learning, Matplotlib, Power BI, Jupyter. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Machine Learning, Matplotlib, Power BI, Jupyter, Feature Engineering, SQL, NumPy, Python, Problem Solving, Agile

Experience:
Data Scientist at Pinnacle IT Services
- Optimized recommendation systems using A/B Testing, by 35%.
- Led dashboards using Statistics, reducing latency by 25%.
- Engineered machine learning models using NumPy, by 20%.
- Managed recommendation systems using PyTorch, by 35%.

Education:
B.Tech in Computer Science, Anna University

Certifications:
AWS Certified Solutions Architect","We are looking for a Data Scientist with at least 3 years of experience.
Required Skills: Jupyter, PyTorch, Matplotlib, Python, R, TensorFlow.
Responsibilities include working on recommendation systems, statistical analyses
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,75.5
"Professional Summary:
Results-driven Cloud Engineer with 0 years of experience in
EC2, Networking, DevOps, CloudFormation. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
EC2, Networking, DevOps, CloudFormation, Azure, AWS, Linux, Lambda, Time Management, Team Leadership

Experience:
Cloud Engineer at NexGen Software
- Architected cloud infrastructure using Azure, by 20%.
- Implemented cloud security policies using Lambda, reducing latency by 25%.
- Implemented auto-scaling systems using Google Cloud Platform, by 20%.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
Google Data Analytics Certificate","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: Docker, Terraform, Google Cloud Platform, EC2, Security, Networking.
Responsibilities include working on cloud infrastructure, cloud migrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,62.9
"Professional Summary:
Results-driven Software Engineer with 4 years of experience in
CI/CD, C++, Data Structures, Unit Testing. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, C++, Data Structures, Unit Testing, Java, REST APIs, Agile, Python, Team Leadership, Problem Solving

Experience:
Software Engineer at TechCorp Solutions
- Implemented APIs using C++, for over 10,000 users.
- Engineered APIs using Algorithms, resulting in 15% cost savings.
- Automated APIs using C++, resulting in 15% cost savings.

Education:
B.Tech in Computer Science, National Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a Software Engineer with at least 4 years of experience.
Required Skills: Object Oriented Programming, SQL, Design Patterns, CI/CD, System Design, REST APIs.
Responsibilities include working on APIs, software modules
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,70.5
"Professional Summary:
Results-driven Data Scientist with 7 years of experience in
Pandas, Data Visualization, Machine Learning, PyTorch. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Pandas, Data Visualization, Machine Learning, PyTorch, Feature Engineering, Tableau, NumPy, R, Agile, Time Management

Experience:
Data Scientist at ByteForge Inc
- Built data pipelines using Feature Engineering, by 20%.
- Optimized statistical analyses using Feature Engineering, resulting in 15% cost savings.
- Led machine learning models using R, by 35%.

Education:
MCA, National Institute of Technology

Certifications:
Google Data Analytics Certificate","We are looking for a Data Scientist with at least 5 years of experience.
Required Skills: SQL, Power BI, Deep Learning, Machine Learning, Data Visualization, Pandas.
Responsibilities include working on predictive models, statistical analyses
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,85.1
"Professional Summary:
Results-driven Cloud Engineer with 8 years of experience in
DevOps, Python, Google Cloud Platform, IAM. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
DevOps, Python, Google Cloud Platform, IAM, Terraform, Docker, Azure, AWS, Agile, Project Management

Experience:
Cloud Engineer at Innovate Systems
- Designed auto-scaling systems using Azure, for over 10,000 users.
- Deployed cloud migrations using Google Cloud Platform, improving performance by 40%.
- Engineered serverless architectures using Docker, across 5 production environments.
- Deployed cloud security policies using Security, by 20%.

Education:
MCA, Anna University

Certifications:
Oracle Certified Java Programmer","We are looking for a Cloud Engineer with at least 1 years of experience.
Required Skills: Security, CloudFormation, Terraform, Kubernetes, AWS, EC2.
Responsibilities include working on cloud security policies, cloud migrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,82.1
"Professional Summary:
Results-driven DevOps Engineer with 12 years of experience in
Monitoring, Git, Azure DevOps, GitLab CI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Monitoring, Git, Azure DevOps, GitLab CI, Prometheus, Grafana, CI/CD, Jenkins, Problem Solving, Agile

Experience:
DevOps Engineer at Quantum Softworks
- Improved monitoring systems using Azure DevOps, improving performance by 40%.
- Deployed deployment automation using Bash Scripting, reducing latency by 25%.
- Architected CI/CD pipelines using Bash Scripting, improving performance by 40%.
- Deployed monitoring systems using Terraform, by 20%.

Education:
B.Tech in Computer Science, VIT University

Certifications:
Scrum Master Certification","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: Docker, Jenkins, Bash Scripting, Ansible, Kubernetes, CI/CD.
Responsibilities include working on deployment automation, monitoring systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,86.3
"Professional Summary:
Results-driven Cloud Engineer with 0 years of experience in
Kubernetes, Python, IAM, Linux. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, Python, IAM, Linux, CloudFormation, Docker, DevOps, Security, Scrum, Project Management

Experience:
Cloud Engineer at TechCorp Solutions
- Designed auto-scaling systems using Terraform, by 20%.
- Automated serverless architectures using Azure, across 5 production environments.
- Deployed auto-scaling systems using Terraform, resulting in 15% cost savings.

Education:
MCA, National Institute of Technology

Certifications:
PMP Certification","We are looking for a Cloud Engineer with at least 2 years of experience.
Required Skills: S3, IAM, Networking, Lambda, Python, DevOps.
Responsibilities include working on auto-scaling systems, cloud infrastructure
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,64.6
